SC_T0-MAVs1_B1	21081FL-07-01-01
SC_T0-MAVs1_B2	21081FL-07-01-02
SC_T0-MAVs1_B4	21081FL-07-01-03
SC_T0-MAVs1_B5	21081FL-07-01-04
SC_T0-OAS1_B1	21081FL-07-01-05
SC_T0-OAS1_B2	21081FL-07-01-06
SC_T0-OAS1_B4	21081FL-07-01-07
SC_T0-OAS1_B5	21081FL-07-01-08
SC_T0-RNaseL1_B2	21081FL-07-01-09
SC_T0-RNaseL1_B3	21081FL-07-01-10
SC_T0-RNaseL1_B4	21081FL-07-01-11
SC_T0-RNaseL1_B5	21081FL-07-01-12
SC_T0-WT_B2	21081FL-07-01-13
SC_T0-WT_B3	21081FL-07-01-14
SC_T0-WT_B4	21081FL-07-01-15
SC_T0-WT_B5	21081FL-07-01-16
SC_T96-FL.M_B2	21081FL-07-02-01
SC_T96-FL.M_B3	21081FL-07-02-02
SC_T96-FL.M_B4	21081FL-07-02-03
SC_T96-FL.M_B5	21081FL-07-02-04
SC_T96-FL.F_B2	21081FL-07-02-05
SC_T96-FL.F_B3	21081FL-07-02-06
SC_T96-FL.F_B4	21081FL-07-02-07
SC_T0-NC.M_B3	21081FL-07-02-08
SC_T0-NC.M_B4	21081FL-07-02-09
SC_T0-NC.M_B5	21081FL-07-02-10
SC_T0-NC.F_B1	21081FL-07-02-11
SC_T0-NC.F_B2	21081FL-07-02-12
SC_T0-NC.F_B3	21081FL-07-02-13
SC_T0-RLRb_B1	21081FL-07-02-14
SC_T0-RLRb_B3	21081FL-07-02-15
SC_T0-RLRb_B5	21081FL-07-02-16
SC_T96-RNaseL1_B1	21081FL-07-03-01
SC_T96-RNaseL1_B2	21081FL-07-03-02
SC_T96-RNaseL1_B3	21081FL-07-03-03
SC_T96-RNaseL1_B4	21081FL-07-03-04
SC_T96-WT_B1	21081FL-07-03-05
SC_T96-WT_B2	21081FL-07-03-06
SC_T96-WT_B3	21081FL-07-03-07
SC_T96-WT_B4	21081FL-07-03-08
SC_T0-ME.M_B2	21081FL-07-03-09
SC_T0-ME.M_B3	21081FL-07-03-10
SC_T0-ME.M_B5	21081FL-07-03-11
SC_T0-ME.F_B1	21081FL-07-03-12
SC_T0-ME.F_B2	21081FL-07-03-13
SC_T0-ME.F_B3	21081FL-07-03-14
SC_T0-ME.F_B5	21081FL-07-03-15
SC_T0-RLRa1_B1	21081FL-07-03-16
SC_T96-RLRa1_B1	21081FL-08-01-01
SC_T96-RLRa1_B2	21081FL-08-01-02
SC_T96-RLRa1_B3	21081FL-08-01-03
SC_T96-RLRa1_B4	21081FL-08-01-04
SC_T96-RLRb_B2	21081FL-08-01-05
SC_T96-RLRb_B3	21081FL-08-01-06
SC_T96-RLRb_B4	21081FL-08-01-07
SC_T96-RLRb_B5	21081FL-08-01-08
SC_T96-MAVs1_B1	21081FL-08-01-09
SC_T96-MAVs1_B2	21081FL-08-01-10
SC_T96-MAVs1_B3	21081FL-08-01-11
SC_T96-OAS1_B3	21081FL-08-01-12
SC_T96-OAS1_B4	21081FL-08-01-13
SC_T96-OAS1_B5	21081FL-08-01-14
SC_T96-FL.F_B5	21081FL-08-01-15
SC_T96-ME.M_B1	21081FL-08-02-01
SC_T96-ME.M_B3	21081FL-08-02-02
SC_T96-ME.M_B4	21081FL-08-02-03
SC_T96-ME.M_B5	21081FL-08-02-04
SC_T96-ME.F_B1	21081FL-08-02-05
SC_T96-ME.F_B2	21081FL-08-02-06
SC_T96-ME.F_B4	21081FL-08-02-07
SC_T96-ME.F_B5	21081FL-08-02-08
SC_T96-NC.M_B1	21081FL-08-02-09
SC_T96-NC.M_B2	21081FL-08-02-10
SC_T96-NC.M_B3	21081FL-08-02-11
SC_T96-NC.M_B4	21081FL-08-02-12
SC_T96-NC.F_B1	21081FL-08-02-13
SC_T96-NC.F_B4	21081FL-08-02-14
SC_T0-FL.M_B1	21081FL-08-02-15
SC_T0-FL.F_B5	21081FL-08-02-16
SC_T0-ME.M_B1	21081FL-08-03-01
SC_T0-RLRa1_B3	21081FL-08-03-02
SC_T0-RLRa1_B4	21081FL-08-03-03
SC_T0-RLRa1_B5	21081FL-08-03-04
SC_T0-RLRb_B4	21081FL-08-03-05
SC_T0-NC.M_B2	21081FL-08-03-06
SC_T96-NC.F_B2	21081FL-08-03-07
SC_T96-NC.F_B3	21081FL-08-03-08
SC_T0-NC.F_B4	21081FL-08-03-09
NH_T14-FIELD_B2	21081FL-08-03-10
SC_T0-FL.M_B2	21081FL-08-03-11
SC_T0-FL.M_B3	21081FL-08-03-12
SC_T0-FL.M_B4	21081FL-08-03-13
SC_T0-FL.F_B2	21081FL-08-03-14
SC_T0-FL.F_B3	21081FL-08-03-15
SC_T0-FL.F_B4	21081FL-08-03-16
